name,pronouns,email,cohort,ability,graduated,dropped_out,courses_completed,has_allergy
Amina Karim (she/her),she/her,amina.karim@kankaanpaavakouluofpaivakoti.school.com,1,0.39,False,True,1,False
Siyabonga Ndlovu (he/him),he/him,siyabonga.ndlovu@kankaanpaavakouluofpaivakoti.school.com,1,0.34,False,True,1,False
Li Na Zhang (she/her),she/her,li.na.zhang@kankaanpaavakouluofpaivakoti.school.com,1,0.57,True,False,5,False
Ismail El-Masri (he/him),he/him,ismail.el-masri@kankaanpaavakouluofpaivakoti.school.com,1,0.65,False,True,1,False
Hana Al-Said (she/her),she/her,hana.al-said@kankaanpaavakouluofpaivakoti.school.com,1,0.33,False,True,2,False
Ryuichi Tanaka (he/him),he/him,ryuichi.tanaka@kankaanpaavakouluofpaivakoti.school.com,1,0.47,True,False,5,False
Hannah Gómez (she/her),she/her,hannah.gomez@kankaanpaavakouluofpaivakoti.school.com,1,0.88,False,True,5,False
Marcus Nyambe (he/him),he/him,marcus.nyambe@kankaanpaavakouluofpaivakoti.school.com,1,0.71,False,True,5,False
Ana Diaz (she/her),she/her,ana.diaz@kankaanpaavakouluofpaivakoti.school.com,1,0.38,False,False,5,False
Oskar Lee (he/him),he/him,oskar.lee@kankaanpaavakouluofpaivakoti.school.com,1,0.35,False,True,2,False
Aisha Kamal (she/her),she/her,aishakamal@kankaanpaavaschoolofpaivakoti.com,1,0.67,True,False,5,False
Lena Park (she/her),she/her,lenapark@kankaanpaavaschoolofpaivakoti.com,1,0.86,False,True,3,False
Mohammed Ali (he/him),he/him,mohammedali@kankaanpaavaschoolofpaivakoti.com,1,0.44,False,True,2,False
Sofia Lopez (she/her),she/her,sofiolopez@kankaanpaavaschoolofpaivakoti.com,1,0.48,False,True,3,False
Ryan Nguyen (he/him),he/him,ryannguyen@kankaanpaavaschoolofpaivakoti.com,1,0.36,False,False,3,False
Isabella Diaz (she/her),she/her,isabelladiaz@kankaanpaavaschoolofpaivakoti.com,1,0.52,False,True,2,False
Omar El-Husseini (he/him),he/him,omarelhusseini@kankaanpaavaschoolofpaivakoti.com,1,0.35,False,True,0,False
Mia Lee (she/her),she/her,miale@kankaanpaavaschoolofpaivakoti.com,1,0.54,True,False,5,False
Mehdi Benghazi (he/him),he/him,mehdibengahzi@kankaanpaavaschoolofpaivakoti.com,1,0.55,False,True,4,False
Yara Al-Said (she/her),she/her,yaralsaid@kankaanpaavaschoolofpaivakoti.com,1,0.43,False,False,5,False
Amina Khan (she/her),she/her,amina.khan@kankaanpaavaschoolofpaivakoti.com,1,0.76,False,True,2,False
Lukasz Szymanski (he/him),he/him,lukasz.szymanski@kankaanpaavaschoolofpaivakoti.com,1,0.6,False,True,2,False
Sofia Alvarez (she/her),she/her,sofia.alvarez@kankaanpaavaschoolofpaivakoti.com,1,0.74,True,False,5,False
Kai Lee (they/them),they/them,kai.lee@kankaanpaavaschoolofpaivakoti.com,1,0.38,False,False,5,False
Yara El-Husseini (she/her),she/her,yara.el-husseini@kankaanpaavaschoolofpaivakoti.com,1,0.61,True,False,5,False
Tomás González (he/him),he/him,tomas.gonzalez@kankaanpaavaschoolofpaivakoti.com,1,0.64,True,False,5,False
Sanaa Mohammed (she/her),she/her,sanaa.mohammed@kankaanpaavaschoolofpaivakoti.com,1,0.46,False,True,3,False
Eduardo Rodriguez (he/him),he/him,eduardo.rodriguez@kankaanpaavaschoolofpaivakoti.com,1,0.81,True,False,5,False
Mia Park (she/her),she/her,mia.park@kankaanpaavaschoolofpaivakoti.com,1,0.84,False,True,1,False
Ibrahim Omar (he/him),he/him,ibrahim.omar@kankaanpaavaschoolofpaivakoti.com,1,0.45,False,False,5,False
