name,pronouns,email,cohort,ability,graduated,dropped_out,courses_completed,has_allergy
Aisha Khan (she/her),she/her,aishakhan@londonschoolofcriticalthinking@school.com,1,0.52,True,False,2,False
Isabella Rodriguez (she/her),she/her,isabellarodriguez@londonschoolofcriticalthinking@school.com,1,0.47,True,False,2,False
Lukas Leclerc (he/him),he/him,lukasleclerc@londonschoolofcriticalthinking@school.com,1,0.89,True,False,2,False
Nina O'Sullivan (she/her),she/her,ninaosullivan@londonschoolofcriticalthinking@school.com,1,0.6,True,False,2,False
Ramzi El-Assi (he/him),he/him,ramzielassi@londonschoolofcriticalthinking@school.com,1,0.62,True,False,2,False
Serena Li (she/her),she/her,serenali@londonschoolofcriticalthinking@school.com,1,0.44,True,False,2,False
Vincent Adebayo (he/him),he/him,vincentadebayo@londonschoolofcriticalthinking@school.com,1,0.79,True,False,2,False
Yara Al-Khateeb (she/her),she/her,yaralkhateeb@londonschoolofcriticalthinking@school.com,1,0.72,True,False,2,False
Zuzana Novotna (she/her),she/her,zuzananovotna@londonschoolofcriticalthinking@school.com,1,0.79,True,False,2,False
Oliver Chowdhury (he/him),he/him,oliverchowdhury@londonschoolofcriticalthinking@school.com,1,0.48,True,False,2,False
Aisha Kumar (she/her),she/her,aishakumar@londonschoolofcriticalthinking@school.com,1,0.43,False,True,0,False
Yusuf Ocampo (he/him),he/him,yusufocampo@londonschoolofcriticalthinking@school.com,1,0.73,True,False,2,False
Emilia Lee (she/her),she/her,emilialee@londonschoolofcriticalthinking@school.com,1,0.71,True,False,2,False
Oliver Nguyen (he/him),he/him,olivernguyen@londonschoolofcriticalthinking@school.com,1,0.83,True,False,2,False
Sofia Patel (she/her),she/her,sofiapatel@londonschoolofcriticalthinking@school.com,1,0.33,True,False,2,False
Lukas Li (he/him),he/him,lukasli@londonschoolofcriticalthinking@school.com,1,0.51,True,False,2,False
Ana Diaz (she/her),she/her,anadiaz@londonschoolofcriticalthinking@school.com,1,0.55,True,False,2,False
Marcus Wu (he/him),he/him,marcuswu@londonschoolofcriticalthinking@school.com,1,0.49,True,False,2,False
Isabella Pereira (she/her),she/her,isabellapereira@londonschoolofcriticalthinking@school.com,1,0.58,False,True,2,False
Noah Gomez (he/him),he/him,noahgomez@londonschoolofcriticalthinking@school.com,1,0.43,True,False,2,False
Aisha Khan (she/her),she/her,aisha.khan@londonschoolofcriticalthinking.school.com,1,0.74,True,False,2,False
Oliver Dosunmu (he/him),he/him,oliver.dosunmu@londonschoolofcriticalthinking.school.com,1,0.53,True,False,2,False
Yara Shamir (they/them),they/them,yara.shamir@londonschoolofcriticalthinking.school.com,1,0.73,True,False,2,False
Elias Santos (he/him),he/him,elias.santos@londonschoolofcriticalthinking.school.com,1,0.77,True,False,2,True
Zuzana Nováková (she/her),she/her,zuzana.novakova@londonschoolofcriticalthinking.school.com,1,0.59,True,False,2,True
Wan Li (he/him),he/him,wan.li@londonschoolofcriticalthinking.school.com,1,0.43,True,False,2,False
Sofía González (she/her),she/her,sofia.gonzalez@londonschoolofcriticalthinking.school.com,1,0.9,True,False,2,True
Khalil El-Husseini (he/him),he/him,khalil.el-husseini@londonschoolofcriticalthinking.school.com,1,0.48,True,False,2,True
Ana Ferreira (she/her),she/her,ana.ferreira@londonschoolofcriticalthinking.school.com,1,0.68,True,False,2,False
Amir Hussein (he/him),he/him,amir.hussein@londonschoolofcriticalthinking.school.com,1,0.82,True,False,2,True
Aisha Kumar (she/her),she/her,aishakumar@londonschoolofcriticalthinking@school.com,2,0.16,False,True,2,False
Omar Ben-Youssef (he/him),he/him,omabenyoussef@londonschoolofcriticalthinking@school.com,2,0.25,True,False,2,False
Maria Garcia (she/her),she/her,mariagarcia@londonschoolofcriticalthinking@school.com,2,0.25,True,False,2,False
Liam Li (he/him),he/him,liamli@londonschoolofcriticalthinking@school.com,2,0.14,True,False,2,False
Sophia Ocampo (she/her),she/her,sophiocampo@londonschoolofcriticalthinking@school.com,2,0.22,True,False,2,False
Ryan Park (he/him),he/him,ryanpark@londonschoolofcriticalthinking@school.com,2,0.23,False,True,2,False
Yara Al-Said (she/her),she/her,yaralsaid@londonschoolofcriticalthinking@school.com,2,0.26,False,True,1,False
Elias Sousa (he/him),he/him,eliasousa@londonschoolofcriticalthinking@school.com,2,0.21,True,False,2,False
Maya Nakamura (she/her),she/her,mayanakamura@londonschoolofcriticalthinking@school.com,2,0.22,True,False,2,False
Noah Guzman (he/him),he/him,noahguzman@londonschoolofcriticalthinking@school.com,2,0.2,False,True,2,False
Aisha Khan (she/her),she/her,aisha.khan@londonschoolofcriticalthinking@school.com,2,0.13,False,True,0,False
Marcelo Santos (he/him),he/him,marcelo.santos@londonschoolofcriticalthinking@school.com,2,0.21,False,True,1,False
Emily O'Sullivan (she/her),she/her,emily.o'sullivan@londonschoolofcriticalthinking@school.com,2,0.28,True,False,2,False
Luis Gonzalez (he/him),he/him,luis.gonzalez@londonschoolofcriticalthinking@school.com,2,0.35,True,False,2,False
Yuna Nur (she/her),she/her,yuna.nur@londonschoolofcriticalthinking@school.com,2,0.13,False,True,0,False
Ramesh Patel (he/him),he/him,ramesh.patel@londonschoolofcriticalthinking@school.com,2,0.28,True,False,2,False
Sofia Lopez (she/her),she/her,sofia.lopez@londonschoolofcriticalthinking@school.com,2,0.31,False,True,0,False
Oliver Wang (he/him),he/him,oliver.wang@londonschoolofcriticalthinking@school.com,2,0.14,False,True,0,False
Zara Ali (she/her),she/her,zara.ali@londonschoolofcriticalthinking@school.com,2,0.13,False,True,0,False
Daniel Park (he/him),he/him,daniel.park@londonschoolofcriticalthinking@school.com,2,0.31,True,False,2,False
Aisha Khan (she/her),she/her,aisha.khan@londonschoolofcriticalthinking@school.com,2,0.36,True,False,2,False
Gabriel Santos (he/him),he/him,gabriel.santos@londonschoolofcriticalthinking@school.com,2,0.15,False,True,1,False
Yara Ocampo (they/them),they/them,yara.ocampo@londonschoolofcriticalthinking@school.com,2,0.38,True,False,2,False
Ren Lee (she/her),she/her,ren.lee@londonschoolofcriticalthinking@school.com,2,0.17,False,True,2,False
Ahmad El-Husseini (he/him),he/him,ahmad.el-husseini@londonschoolofcriticalthinking@school.com,2,0.28,True,False,2,False
Meena Patel (she/her),she/her,meena.patel@londonschoolofcriticalthinking@school.com,2,0.1,False,True,1,False
Ivan Petrov (he/him),he/him,ivan.petrov@londonschoolofcriticalthinking@school.com,2,0.35,True,False,2,False
Zara Yang (she/her),she/her,zara.yang@londonschoolofcriticalthinking@school.com,2,0.28,False,True,2,False
Omar El-Bakri (he/him),he/him,omar.el-bakri@londonschoolofcriticalthinking@school.com,2,0.3,False,True,0,False
Maya Gomez (she/her),she/her,maya.gomez@londonschoolofcriticalthinking@school.com,2,0.21,True,False,2,False
Amina Khan (she/her),she/her,amina.khan@londonschoolofcriticalthinking@school.com,3,0.89,False,True,2,False
Luis González (he/him),he/him,luis.gonzalez@londonschoolofcriticalthinking@school.com,3,0.48,True,False,2,False
Yara El-Said (she/her),she/her,yara.el-said@londonschoolofcriticalthinking@school.com,3,0.67,True,False,2,False
Sofia Li (she/her),she/her,sofia.li@londonschoolofcriticalthinking@school.com,3,0.32,True,False,2,False
Omar Jamal (he/him),he/him,omar.jamal@londonschoolofcriticalthinking@school.com,3,0.69,True,False,2,False
Emilia Perez (she/her),she/her,emilia.perez@londonschoolofcriticalthinking@school.com,3,0.47,True,False,2,False
Raj Patel (he/him),he/him,raj.patel@londonschoolofcriticalthinking@school.com,3,0.82,True,False,2,False
Nour Al-Said (she/her),she/her,nour.al-said@londonschoolofcriticalthinking@school.com,3,0.77,True,False,2,False
Leo Liu (he/him),he/him,leo.liu@londonschoolofcriticalthinking@school.com,3,0.59,True,False,2,False
Anna Karim (she/her),she/her,anna.karim@londonschoolofcriticalthinking@school.com,3,0.5,False,True,1,False
Aisha Khan (she/her),she/her,aishakhan@londonschoolofcriticalthinking@school.com,3,0.82,True,False,2,False
Lukas Santos (he/him),he/him,lukassantos@londonschoolofcriticalthinking@school.com,3,0.65,True,False,2,False
Yara O'Sullivan (she/her),she/her,yarasullivan@londonschoolofcriticalthinking@school.com,3,0.36,True,False,2,False
Juan Perez (he/him),he/him,juancarlosperez@londonschoolofcriticalthinking@school.com,3,0.44,False,True,2,False
Emma Lee (she/her),she/her,emmalee@londonschoolofcriticalthinking@school.com,3,0.74,True,False,2,False
Sebastian Nguyen (he/him),he/him,sebastianduyen@londonschoolofcriticalthinking@school.com,3,0.62,True,False,2,False
Nina Patel (she/her),she/her,ninapatel@londonschoolofcriticalthinking@school.com,3,0.81,True,False,2,False
Oliver Li (he/him),he/him,oliverli@londonschoolofcriticalthinking@school.com,3,0.48,True,False,2,False
Sofia Diaz (she/her),she/her,sofiamdiaz@londonschoolofcriticalthinking@school.com,3,0.84,True,False,2,False
Raphael García (he/him),he/him,raphaelsgarcia@londonschoolofcriticalthinking@school.com,3,0.59,True,False,2,False
Aisha Khan (she/her),she/her,aishakhan@londonschoolofcriticalthinking@school.com,3,0.76,False,True,2,False
Yara El-Said (they/them),they/them,yarael@londonschoolofcriticalthinking@school.com,3,0.41,True,False,2,False
Eduardo Santos (he/him),he/him,eduardosantos@londonschoolofcriticalthinking@school.com,3,0.35,False,True,2,False
Yuki Nakamura (she/her),she/her,yukinakamura@londonschoolofcriticalthinking@school.com,3,0.58,True,False,2,False
Sebastian Gonzalez (he/him),he/him,sebastiangonzalez@londonschoolofcriticalthinking@school.com,3,0.42,True,False,2,False
Hana Ahmed (she/her),she/her,hanaahmed@londonschoolofcriticalthinking@school.com,3,0.68,True,False,2,False
Lina Zhou (she/her),she/her,linazhou@londonschoolofcriticalthinking@school.com,3,0.33,True,False,2,False
Omar Ebrahim (he/him),he/him,omarebrahim@londonschoolofcriticalthinking@school.com,3,0.63,True,False,2,False
Mira Choi (she/her),she/her,mirachoi@londonschoolofcriticalthinking@school.com,3,0.87,True,False,2,False
Samuel Owusu (he/him),he/him,samuelowusu@londonschoolofcriticalthinking@school.com,3,0.61,True,False,2,False
Aisha Kumar (she/her),she/her,aishakumar@londonschoolofcriticalthinking@school.com,4,0.36,False,False,2,False
Oliver Lopez (he/him),he/him,oliverlopez@londonschoolofcriticalthinking@school.com,4,0.35,True,False,2,False
Sofia Li (she/her),she/her,sofiali@londonschoolofcriticalthinking@school.com,4,0.77,True,False,2,False
James Park (he/him),he/him,jamespark@londonschoolofcriticalthinking@school.com,4,0.75,True,False,2,False
Emma Patel (she/her),she/her,emmapatel@londonschoolofcriticalthinking@school.com,4,0.39,True,False,2,False
