name,pronouns,email,cohort,ability,graduated,dropped_out,courses_completed,has_allergy
Sofia Karim (she/her),she/her,sofia.karim@helsinkischooloftyrechanging.school.com,1,0.4,True,False,2,False
Lukas Zhang (he/him),he/him,lukas.zhang@helsinkischooloftyrechanging.school.com,1,0.81,True,False,2,False
Amina Nguyen (she/her),she/her,amina.nguyen@helsinkischooloftyrechanging.school.com,1,0.45,True,False,2,False
Isaac Patel (he/him),he/him,isaac.patel@helsinkischooloftyrechanging.school.com,1,0.75,True,False,2,False
Yara Ocampo (she/her),she/her,yara.ocampo@helsinkischooloftyrechanging.school.com,1,0.84,True,False,2,False
Mohammed Lee (he/him),he/him,mohammed.lee@helsinkischooloftyrechanging.school.com,1,0.62,True,False,2,False
Elena Wang (she/her),she/her,elena.wang@helsinkischooloftyrechanging.school.com,1,0.67,True,False,2,False
Oliver Gomez (he/him),he/him,oliver.gomez@helsinkischooloftyrechanging.school.com,1,0.86,True,False,2,False
Leila Kim (she/her),she/her,leila.kim@helsinkischooloftyrechanging.school.com,1,0.72,True,False,2,False
Noah Hernandez (he/him),he/him,noah.hernandez@helsinkischooloftyrechanging.school.com,1,0.53,True,False,2,False
Emilia Korpiola (she/her),she/her,emilia.korpiola@helsinkischooloftyrechanging.school.com,1,0.53,False,True,2,False
Juan Diaz (he/him),he/him,juan.diaz@helsinkischooloftyrechanging.school.com,1,0.39,True,False,2,False
Sara Mohammed (she/her),she/her,sara.mohammed@helsinkischooloftyrechanging.school.com,1,0.47,True,False,2,False
Oliver Nguyen (he/him),he/him,oliver.nguyen@helsinkischooloftyrechanging.school.com,1,0.73,True,False,2,False
Isabella Park (she/her),she/her,isabella.park@helsinkischooloftyrechanging.school.com,1,0.66,True,False,2,False
Lukas Patel (he/him),he/him,lukas.patel@helsinkischooloftyrechanging.school.com,1,0.68,True,False,2,False
Yara Benitez (she/her),she/her,yara.benitez@helsinkischooloftyrechanging.school.com,1,0.67,True,False,2,False
Leon Li (he/him),he/him,leon.li@helsinkischooloftyrechanging.school.com,1,0.47,True,False,2,False
Ada Kim (she/her),she/her,ada.kim@helsinkischooloftyrechanging.school.com,1,0.73,True,False,2,False
Mohammad Abdulrahman (he/him),he/him,mohammad.abdulrahman@helsinkischooloftyrechanging.school.com,1,0.42,True,False,2,False
Sami Saarinen (he/him),he/him,sami.saarinen@helsinkischooloftyrechanging.school.com,1,0.57,True,False,2,False
Amina Diop (she/her),she/her,amina.diop@helsinkischooloftyrechanging.school.com,1,0.49,True,False,2,False
Juan Guzman (he/him),he/him,juan.guzman@helsinkischooloftyrechanging.school.com,1,0.38,True,False,2,False
Mei-Ling Wang (she/her),she/her,mei-ling.wang@helsinkischooloftyrechanging.school.com,1,0.69,True,False,2,False
Ibrahim Kamara (he/him),he/him,ibrahim.kamara@helsinkischooloftyrechanging.school.com,1,0.89,True,False,2,False
Yuna Nakamura (she/her),she/her,yuna.nakamura@helsinkischooloftyrechanging.school.com,1,0.83,True,False,2,False
Maria Rodriguez (she/her),she/her,maria.rodriguez@helsinkischooloftyrechanging.school.com,1,0.35,True,False,2,False
Taher Hassan (he/him),he/him,taher.hassan@helsinkischooloftyrechanging.school.com,1,0.78,True,False,2,False
Xiu-Liang Zhang (he/him),he/him,xiu-liang.zhang@helsinkischooloftyrechanging.school.com,1,0.43,True,False,2,False
Elena Gonzalez (she/her),she/her,elena.gonzalez@helsinkischooloftyrechanging.school.com,1,0.38,True,False,2,False
Aku Sullo (He/Him),He/Him,Aku.Sullo@helsinkischooloftyrechanging.school.com,2,0.37,True,False,2,False
Zeynep Soylu (She/Her),She/Her,Zeynep.Soylu@helsinkischooloftyrechanging.school.com,2,0.15,True,False,2,False
Kai Lee (They/Them),They/Them,Kai.Lee@helsinkischooloftyrechanging.school.com,2,0.23,False,True,1,False
Xiaomei Li (She/Her),She/Her,Xiaomei.Li@helsinkischooloftyrechanging.school.com,2,0.19,False,True,2,False
Juan Garcia (He/Him),He/Him,Juan.Garcia@helsinkischooloftyrechanging.school.com,2,0.34,True,False,2,False
Leila Mehdi (She/Her),She/Her,Leila.Mehdi@helsinkischooloftyrechanging.school.com,2,0.36,True,False,2,False
Felipe Gonzalez (He/Him),He/Him,Felipe.Gonzalez@helsinkischooloftyrechanging.school.com,2,0.35,True,False,2,False
Theresa Ng (She/Her),She/Her,Theresa.Ng@helsinkischooloftyrechanging.school.com,2,0.21,True,False,2,False
Alaa El-Khatib (He/Him),He/Him,Alaa.El-Khatib@helsinkischooloftyrechanging.school.com,2,0.4,True,False,2,False
Gizem Yilmaz (She/Her),She/Her,Gizem.Yilmaz@helsinkischooloftyrechanging.school.com,2,0.32,True,False,2,False
Ada Sakari (she/her),she/her,ada.sakari@helsinkischooloftyrechanging.school.com,2,0.2,False,True,2,False
Omar Al-Rawi (he/him),he/him,omar.al-rawi@helsinkischooloftyrechanging.school.com,2,0.25,False,True,0,False
Lena Park (she/her),she/her,lena.park@helsinkischooloftyrechanging.school.com,2,0.38,True,False,2,False
Ramiz Kumar (he/him),he/him,ramiz.kumar@helsinkischooloftyrechanging.school.com,2,0.31,True,False,2,False
Mia Ren (she/her),she/her,mia.ren@helsinkischooloftyrechanging.school.com,2,0.1,False,False,2,False
Ahmed Benyahia (he/him),he/him,ahmed.benyahia@helsinkischooloftyrechanging.school.com,2,0.31,True,False,2,False
Nina Nguyen (she/her),she/her,nina.nguyen@helsinkischooloftyrechanging.school.com,2,0.17,True,False,2,False
Ezra Tanaka (he/him),he/him,ezra.tanaka@helsinkischooloftyrechanging.school.com,2,0.35,True,False,2,False
Leila Patel (she/her),she/her,leila.patel@helsinkischooloftyrechanging.school.com,2,0.13,False,True,2,False
Joaquin Gonzales (he/him),he/him,joaquin.gonzales@helsinkischooloftyrechanging.school.com,2,0.13,False,False,2,False
Emma Korkman (she/her),she/her,emma.korkman@helsinkischooloftyrechanging.com,2,0.18,True,False,2,False
Aisha Al-Khateeb (she/her),she/her,aisha.al-khateeb@helsinkischooloftyrechanging.com,2,0.13,False,False,2,False
Sebastián García (he/him),he/him,sebastian.garcia@helsinkischooloftyrechanging.com,2,0.25,False,True,2,False
Sophie Lee (she/her),she/her,sophie.lee@helsinkischooloftyrechanging.com,2,0.39,True,False,2,False
Sarang Patil (he/him),he/him,sarang.patil@helsinkischooloftyrechanging.com,2,0.11,False,True,0,False
Mariam Ben-Hassan (she/her),she/her,mariam.ben-hassan@helsinkischooloftyrechanging.com,2,0.23,False,True,1,False
Ming Li (he/him),he/him,ming.li@helsinkischooloftyrechanging.com,2,0.22,True,False,2,False
Ana Rodríguez (she/her),she/her,ana.rodriguez@helsinkischooloftyrechanging.com,2,0.3,True,False,2,False
Kaden Lee (he/him),he/him,kaden.lee@helsinkischooloftyrechanging.com,2,0.29,False,True,1,False
Isabella Pereira (she/her),she/her,isabella.pereira@helsinkischooloftyrechanging.com,2,0.36,True,False,2,False
Ana Santos (she/her),she/her,ana.santos@helsinkischooloftyrechanging.com,3,0.41,False,True,2,False
Osman Khan (he/him),he/him,osman.khan@helsinkischooloftyrechanging.com,3,0.42,True,False,2,False
Yara El-Masri (they/them),they/them,yara.el-masri@helsinkischooloftyrechanging.com,3,0.76,True,False,2,False
Lukas Schmidt (he/him),he/him,lukas.schmidt@helsinkischooloftyrechanging.com,3,0.76,True,False,2,False
Aiko Yamada (she/her),she/her,aiko.yamada@helsinkischooloftyrechanging.com,3,0.36,False,True,2,False
Sofia Gonzalez (she/her),she/her,sofia.gonzalez@helsinkischooloftyrechanging.com,3,0.53,False,True,0,False
